line number	chromosome	p	q	revative length	p/q arm ratio
1	1L	107.595	151.8655	259.4605	0.71
2	1L	80.5185	140.1185	220.637	0.57
2	1S	94.282	138.575	232.857	0.68
3	1S	85.5265	123.1575	208.684	0.69
3	2L	71.6135	125.5375	197.151	0.57
4	2L	69.9445	123.249	193.1935	0.57
4	2S	64.946	114.6295	179.5755	0.57
5	2S	47.418	114.524	161.942	0.41
5	3L	30.3715	149.4255	179.797	0.20
6	3L	30.3715	149.4255	179.797	0.20
6	3S	28.1815	118.5315	146.713	0.24
7	3S	26.5705	114.3865	140.957	0.23
7	4L	47.9365	110.8965	158.833	0.43
8	4L	45.9755	112.61	158.5855	0.41
8	4S	24.7435	111.6045	136.348	0.22
9	4S	32.063	97.555	129.618	0.33
9	5L	78.4905	93.817	172.3075	0.84
10	5L	62.269	78.19	140.459	0.80
10	5S	63.351	100.28	163.631	0.63
11	5S	59.0855	103.003	162.0885	0.57
11	6L	82.1575	89.4845	171.642	0.92
12	6L	76.231	85.944	162.175	0.89
12	6S	62.38	95.736	158.116	0.65
13	6S	60.4695	80.838	141.3075	0.75
13	7L	68.828	70.888	139.716	0.97
14	7L	60.675	76.6665	137.3415	0.79
14	7S	47.2	65.756	112.956	0.72
15	7S	43.309	64.362	107.671	0.67
15	8L	43.7615	113.2835	157.045	0.39
16	8L	30.884	122.5135	153.3975	0.25
16	8S	49.2595	62.621	111.8805	0.79
17	8S	43.068	50.495	93.563	0.85
17	9_10L	40.7965	94.4835	135.28	0.43
18	9_10L	26.8415	103.2155	130.057	0.26
18	9_10S	35.692	88.1885	123.8805	0.40
19	9_10S	22.359	92.559	114.918	0.24
