line number	chromosome	p	q	revative length	p/q arm ratio
1	1L	1.2335	1.9225	3.156	0.64
2	1L	1.2235	1.744	2.9675	0.70
3	1S	1.118	1.572	2.69	0.71
4	1S	1.054	1.5495	2.6035	0.68
5	2L	0.9755	1.527	2.5025	0.64
6	2L	0.8605	1.4515	2.312	0.59
7	2S	0.6885	1.533	2.2215	0.45
8	2S	0.761	1.3865	2.1475	0.55
9	3L	0.414	1.697	2.111	0.24
10	3L	0.331	1.4655	1.7965	0.23
11	3S	0.3415	1.672	2.0135	0.20
12	3S	0.313	1.564	1.877	0.20
13	4L	0.498	1.6065	2.1045	0.31
14	4L	0.475	1.5695	2.0445	0.30
15	4S	0.3035	1.424	1.7275	0.21
16	4S	0.3075	1.316	1.6235	0.23
17	5L	0.8755	1.4265	2.302	0.61
18	5L	0.997	1.188	2.185	0.84
19	5S	0.835	1.42	2.255	0.59
20	5S	0.818	1.0605	1.8785	0.77
21	6L	0.936	1.0555	1.9915	0.89
22	6L	0.775	1.062	1.837	0.73
23	6S	0.7265	1.0925	1.819	0.66
24	6S	0.7265	1.074	1.8005	0.68
25	7L	0.677	0.9735	1.6505	0.70
26	7L	0.6125	0.882	1.4945	0.69
27	7S	0.6235	0.7245	1.348	0.86
28	7S	0.5155	0.717	1.2325	0.72
29	8L	0.3945	1.4165	1.811	0.28
30	8L	0.3805	1.389	1.7695	0.27
31	8S	0.5025	0.682	1.1845	0.74
32	8S	0.5035	0.5105	1.014	0.99
33	9_10L	0.3605	1.45	1.8105	0.25
34	9_10L	0.3265	1.229	1.5555	0.27
35	9_10S	0.301	1.2	1.501	0.25
36	9_10S	0.325	1.12	1.445	0.29
