line number	chromosome	p	q	revative length	p/q arm ratio
1	1L	1.026529412	1.466470588	2.493	0.7
2	1L	0.8537218935	1.237278107	2.091	0.69
3	1S	0.7973786982	1.155621302	1.953	0.69
4	1S	0.8092339181	1.139766082	1.949	0.71
5	2L	0.7149135802	1.15308642	1.868	0.62
6	2L	0.6713558282	1.065644172	1.737	0.63
7	2S	0.6450731707	1.007926829	1.653	0.64
8	2S	0.5689873418	0.9810126582	1.55	0.58
9	3L	0.311	1.244	1.555	0.25
10	3L	0.3719323308	1.127067669	1.499	0.33
11	3S	0.3556153846	1.185384615	1.541	0.3
12	3S	0.3761503759	1.139849624	1.516	0.33
13	4L	0.3163125	1.1296875	1.446	0.28
14	4L	0.273	1.092	1.365	0.25
15	4S	0.2436694215	1.160330579	1.404	0.21
16	4S	0.2151666667	1.075833333	1.291	0.2
17	5L	0.5383708609	1.055629139	1.594	0.51
18	5L	0.4715675676	0.9824324324	1.454	0.48
19	5S	0.5385974026	0.9974025974	1.536	0.54
20	5S	0.610744186	0.848255814	1.459	0.72
21	6L	0.8730909091	0.8909090909	1.764	0.98
22	6L	0.8064271357	0.8145728643	1.621	0.99
23	6S	0.6377374302	0.8072625698	1.445	0.79
24	6S	0.602801105	0.744198895	1.347	0.81
25	7L	0.6091011236	0.7808988764	1.39	0.78
26	7L	0.465382716	0.750617284	1.216	0.62
27	7S	0.4315813953	0.5994186047	1.031	0.72
28	7S	0.4564640884	0.5635359116	1.02	0.81
29	8L	0.2906744186	1.002325581	1.293	0.29
30	8L	0.2974615385	0.9915384615	1.289	0.3
31	8S	0.3961176471	0.5658823529	0.962	0.7
32	8S	0.4331968912	0.4658031088	0.899	0.93
33	9_10L	0.2976946565	0.9603053435	1.258	0.31
34	9_10L	0.2584615385	0.8615384615	1.12	0.3
35	9_10S	0.3009699248	0.9120300752	1.213	0.33
36	9_10S	0.2601212121	0.8128787879	1.073	0.32
